id,ExamCode,Name,Description,LogoImage,IsActive,SortOrder,NoofExams,IsSectionTimeLimit,IsSingleExam,TimeSectionLimit,CreatedUser,Price,DiscountedPrice,created_at,updated_at,deleted_at
1001,UGCNET,UGC National Eligibility Test (NET),UGC NET exam is conducted in two papers (Paper-I and Paper-II) consisting of multiple-choice questions (MCQs) and all questions are compulsory. Candidates need to complete both papers in a single duration of three hours.,,Y,1,1,N,Y,,,0,,,,
1002,SSCCGL,SSC Combined Graduate Level (CGL),"SSC CGL Exam is conducted in two stages: Tier-1 and Tier-2. SSC CGL Tier 1 Exam will be compulsory for all candidates. For SSC CGL Tier 2 Exam, there will be Paper 1, 2, and 3, whereas Paper I is Compulsory for all posts, Paper II is for candidates who apply for the posts of Junior Statistical Officer (JSO) in the Ministry of Statistics and Programme Implementation and Paper III is for candidates who apply for the posts of Assistant Audit Officer/ Assistant Accounts Officer",,Y,2,2,Y,N,,,0,,,,
